timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-08-21T20:15	baseline	kill-2	-	83.3	baseline	-	d6:enum-classes.js坏引用;d8有本会话实测证据	dry_run
2026-08-21T20:15	baseline	ios-reverse-engineering	-	50.8	baseline	-	d3=3,d4=2,d9=3:无失败编码/无检查点/无黑名单	dry_run
2026-08-21T20:15	baseline	memory-management	-	55.0	baseline	-	过薄56行,d3弱	dry_run
2026-08-21T20:15	baseline	huashu-nuwa	-	56.3	baseline	-	d6=1:scripts/+references/整目录缺失,9引用全死	dry_run
2026-08-21T20:15	baseline	nopua	-	59.1	baseline	-	d4=2无检查点标记,d9无黑名单	dry_run
2026-08-21T20:15	baseline	skill-creator	-	59.6	baseline	-	d9无黑名单节	dry_run
2026-08-21T20:15	baseline	macos-control-bypasses	-	61.2	baseline	-	d3=3失败编码弱	dry_run
2026-08-21T20:15	baseline	impeccable	-	63.7	baseline	-	softwords为引号误报,实际0	dry_run
2026-08-21T20:15	baseline	xss-cross-site-scripting	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	sqli-sql-injection	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	ssrf-server-side-request-forgery	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	ssti-server-side-template-injection	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	cmdi-command-injection	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	deserialization-insecure	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	xxe-xml-external-entity	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	api-authorization-and-bola	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	jwt-oauth-token-attacks	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	active-directory-acl-abuse	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	active-directory-certificate-services	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	active-directory-kerberos-attacks	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	network-protocol-attacks	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	tunneling-and-pivoting	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:15	baseline	android-pentesting-tricks	-	73.8	baseline	-	统一wrapper结构,payload深度达标,d6无资源引用	dry_run
2026-08-21T20:40	r6	ios-reverse-engineering	50.8	64.6	keep	d3/d4/d9	失败模式表+检查点+黑名单+章节编号	dry_run
2026-08-21T20:40	r6	huashu-nuwa	56.3	59.1	keep	d6	补齐4个已承诺缺失文件+内联yt-dlp，脚本smoke测试通过	dry_run
2026-08-21T20:40	r6	kill-2	83.3	84.5	keep	d6	enum-classes.js死引用→内联frida命令	dry_run
2026-08-21T20:40	r6	nopua	59.1	62.1	keep	d9	反模式黑名单5条	dry_run
2026-08-21T20:40	r6	macos-control-bypasses	61.2	71.4	keep	d7+d3修正	基线上修(已有异常表/黑名单被低估)+合并重复ImportantNotes	dry_run
2026-08-21T20:40	baseline	memory-management	55.0	73.4	baseline_correction	-	异常表三段式+反例节+检查点被扫描器低估	dry_run
2026-08-21T20:40	baseline	skill-creator	59.6	69.8	baseline_correction	-	四列异常表+CHECKPOINT+WhatNOT被低估	dry_run
